Epoch	lr	Time-elapse(Min)	Train-Loss	Test-Loss	Train-Acc	Test-Acc	Test-Acc-Top5	
73	0.050000	49.969629	1.635212	1.768567	62.820000	53.039997	82.779999	
74	0.050000	50.654435	1.628142	1.646697	63.236000	55.719997	84.540001	
75	0.050000	51.326514	1.637382	1.779479	62.727997	52.699997	81.769997	
76	0.050000	52.007920	1.639339	1.912242	62.680000	50.779999	81.139999	
77	0.050000	52.673091	1.639049	1.595613	62.727997	56.389999	84.610001	
78	0.050000	53.345627	1.637048	1.675618	62.851997	54.680000	83.589996	
79	0.050000	54.043564	1.631704	1.825494	63.051998	52.149998	81.589996	
80	0.050000	54.726179	1.632498	1.661148	63.197998	54.389999	84.169998	
81	0.050000	55.418650	1.635181	1.732854	62.903999	53.149998	82.949997	
82	0.050000	56.076852	1.629838	1.964542	63.053997	50.649998	80.570000	
83	0.050000	56.756275	1.621570	1.665022	63.247997	55.250000	83.959999	
84	0.050000	57.448827	1.636453	1.591548	62.913998	56.789997	84.339996	
85	0.050000	58.133244	1.632007	1.593371	62.966000	55.730000	85.279999	
86	0.050000	58.799165	1.624245	1.794576	63.188000	53.099998	82.040001	
87	0.050000	59.481155	1.627229	1.544946	63.161999	57.779999	85.610001	
88	0.050000	60.178833	1.628537	1.623715	63.261997	55.959999	84.599998	
89	0.050000	60.845507	1.623319	1.755137	63.147999	53.180000	83.339996	
90	0.050000	61.538724	1.627194	1.564137	63.320000	56.570000	84.949997	
91	0.050000	62.228554	1.624010	1.541753	63.405998	56.889999	85.790001	
92	0.050000	62.929958	1.630445	1.672096	63.227997	54.299999	83.809998	
93	0.050000	63.620440	1.622176	1.671573	63.483997	54.840000	83.739998	
94	0.050000	64.317085	1.631571	1.654427	63.021999	55.649998	83.570000	
95	0.050000	65.002567	1.617998	1.562402	63.463997	56.879997	84.799995	
96	0.050000	65.676625	1.623859	1.741310	63.348000	53.329998	83.199997	
97	0.050000	66.350309	1.619580	1.596666	63.579998	56.919998	84.409996	
98	0.050000	67.018119	1.624485	1.653447	63.295998	55.500000	83.860001	
99	0.050000	67.720085	1.633727	1.696196	63.001999	54.410000	83.379997	
100	0.050000	68.404714	1.624829	1.558440	63.396000	56.959999	84.790001	
101	0.050000	69.110986	1.624131	1.773638	63.421997	53.559998	81.619995	
102	0.050000	69.814838	1.617369	1.500333	63.349998	57.849998	86.409996	
103	0.050000	70.510375	1.620725	1.635602	63.535999	55.039997	83.799995	
104	0.050000	71.197959	1.620401	1.629706	63.621998	55.980000	84.659996	
105	0.050000	71.903889	1.625177	1.469276	63.363998	59.239998	86.970001	
106	0.050000	72.606438	1.621542	1.487326	63.593998	58.570000	85.829994	
107	0.050000	73.312156	1.620064	1.661166	63.413998	55.980000	84.400002	
108	0.050000	73.978347	1.628710	1.584307	63.517998	57.270000	85.769997	
109	0.050000	74.672862	1.630786	1.599801	63.175999	55.090000	85.389999	
110	0.050000	75.365054	1.620251	1.503505	63.733997	57.699997	86.439995	
111	0.050000	76.064248	1.616584	1.559129	63.431999	57.340000	84.839996	
112	0.050000	76.732665	1.617604	1.431804	63.649998	59.889999	86.970001	
113	0.050000	77.450324	1.627644	1.734999	63.475998	53.930000	82.849998	
114	0.050000	78.112929	1.617749	1.649310	63.507999	55.730000	83.479996	
115	0.050000	78.809952	1.615114	1.577704	63.646000	56.399998	85.400002	
116	0.050000	79.497294	1.625466	1.532562	63.385998	57.279999	86.269997	
117	0.050000	80.173893	1.620279	1.601959	63.562000	56.340000	85.000000	
118	0.050000	80.860186	1.615514	1.748689	63.632000	54.250000	82.699997	
119	0.050000	81.546466	1.621528	1.455762	63.438000	59.849998	86.709999	
120	0.050000	82.222110	1.619936	1.586882	63.590000	57.180000	84.970001	
121	0.050000	82.872789	1.616409	1.653140	63.795998	55.779999	84.019997	
122	0.050000	83.570732	1.622412	1.695235	63.633999	54.369999	84.019997	
123	0.050000	84.264120	1.625294	1.737019	63.559998	54.649998	82.040001	
124	0.050000	84.954486	1.616993	1.684486	63.595997	54.739998	83.639999	
125	0.050000	85.636029	1.620693	1.562337	63.879997	57.730000	85.110001	
