Epoch	lr	Time-elapse(Min)	Train-Loss	Test-Loss	Train-Acc	Test-Acc	Test-Acc-Top5	
83	0.050000	38.433455	1.720280	1.684248	64.089996	57.189999	85.869995	
84	0.050000	38.896644	1.716492	1.523568	64.624001	59.570000	87.599998	
85	0.050000	39.357848	1.721341	2.158890	64.477997	52.000000	82.900002	
86	0.050000	39.815104	1.717034	1.736219	64.622002	56.389999	84.779999	
87	0.050000	40.270503	1.704700	2.309584	64.421997	48.139999	77.459999	
88	0.050000	40.725615	1.699273	1.635420	64.737999	57.969997	85.930000	
89	089	0.050000	50.032817	1.704442	1.594821	64.430000	58.489998	86.549995	
90	0.050000	50.586195	1.698202	1.607238	64.538002	58.649998	86.180000	
91	0.050000	51.119310	1.695273	1.658384	64.685997	58.609997	85.809998	
92	0.050000	51.662679	1.712749	1.747146	64.391998	56.340000	84.629997	
93	0.050000	52.216717	1.702791	1.636944	64.379997	57.129997	85.849998	
94	0.050000	52.762946	1.703896	1.597247	64.472000	58.320000	86.409996	
95	0.050000	53.317758	1.702494	1.709530	64.605995	56.989998	85.739998	
96	0.050000	53.850391	1.697233	1.630361	64.510002	57.969997	86.320000	
97	0.050000	54.424127	1.705882	1.652631	64.209999	57.759998	85.599998	
98	0.050000	54.974624	1.690448	1.513502	65.143997	59.289997	86.979996	
99	0.050000	55.531677	1.700083	1.552557	64.762001	58.480000	86.869995	
100	0.050000	56.088410	1.696019	1.611512	64.855995	57.919998	86.809998	
101	0.050000	56.648263	1.697894	1.906336	64.795998	53.899998	84.509995	
102	0.050000	57.205987	1.704421	1.900654	64.587997	53.820000	83.739998	
103	0.050000	57.759960	1.698378	1.604865	64.573997	58.910000	86.279999	
104	0.050000	58.318959	1.686989	1.807515	64.851997	54.969997	84.540001	
105	0.050000	58.878453	1.684002	1.789697	64.723999	56.279999	84.790001	
106	0.050000	59.439677	1.687351	1.781784	64.647995	56.889999	84.659996	
107	0.050000	59.996548	1.695636	1.626908	64.699997	57.349998	85.729996	
108	0.050000	60.559673	1.686795	1.723847	64.706001	56.500000	85.089996	
109	0.050000	61.129682	1.694686	1.696352	64.678001	56.949997	85.110001	
110	0.050000	61.679080	1.688817	1.629191	64.797997	57.730000	86.199997	
111	0.050000	62.224843	1.689731	1.583473	64.872002	58.719997	86.199997	
112	0.050000	62.754639	1.688764	1.853731	64.914001	54.750000	82.659996	
113	0.050000	63.308839	1.682411	1.978345	64.783997	53.129997	82.559998	
114	0.050000	63.870403	1.690880	1.585438	64.818001	58.180000	86.540001	
115	0.050000	64.423551	1.688888	1.500946	64.661995	60.709999	87.570000	
116	0.050000	64.978960	1.690791	1.624462	64.720001	58.519997	85.820000	
117	0.050000	65.530550	1.680624	1.793851	64.879997	56.389999	83.470001	
118	0.050000	66.093266	1.686551	1.580243	64.972000	59.090000	86.750000	
119	0.050000	66.644348	1.686964	1.798130	64.956001	54.160000	83.269997	
120	0.050000	67.195781	1.676199	1.572387	65.112000	59.090000	86.439995	
121	0.050000	67.743968	1.671771	1.737983	65.026001	56.919998	84.290001	
122	0.050000	68.296271	1.685951	1.761914	64.807999	57.299999	84.790001	
123	0.050000	68.844823	1.674095	1.607507	65.103996	58.699997	85.970001	
124	0.050000	69.398704	1.677323	1.881592	65.024002	55.639999	84.549995	
125	0.050000	69.956337	1.684149	1.612307	64.987999	59.099998	86.360001	
126	0.050000	70.520693	1.678219	1.559319	65.094002	59.879997	86.500000	
127	0.050000	71.086570	1.676045	1.864266	64.914001	54.959999	83.360001	
128	0.050000	71.655271	1.681091	1.598594	64.953995	58.199997	85.790001	
129	0.050000	72.213065	1.678591	1.659188	64.916000	56.980000	86.269997	
130	0.050000	72.760821	1.672619	1.667489	65.056000	57.840000	85.459999	
131	0.050000	73.295284	1.686168	1.773177	64.951996	54.939999	84.099998	
132	0.050000	73.837282	1.684617	1.503119	65.061996	59.889999	87.070000	
133	0.050000	74.381878	1.684701	1.607360	65.024002	58.469997	86.610001	
134	0.050000	74.942413	1.683085	1.628196	64.629997	57.899998	85.239998	
135	0.050000	75.496963	1.671160	1.565583	64.872002	59.649998	86.500000	
136	0.050000	76.049421	1.679266	1.603595	64.945999	57.529999	85.379997	
137	0.050000	76.597999	1.674305	1.664114	65.180000	57.299999	85.939995	
138	0.050000	77.153233	1.681463	1.874281	64.972000	55.039997	83.439995	
139	0.050000	77.708851	1.674293	1.624317	65.281998	57.869999	85.790001	
140	0.050000	78.261759	1.674547	1.695156	65.260002	57.160000	84.900002	
141	0.050000	78.822567	1.670707	1.989478	65.024002	52.439999	81.509995	
142	0.050000	79.375290	1.679065	1.650033	64.967995	57.410000	85.799995	
143	0.050000	79.928332	1.682648	1.524149	64.981995	59.750000	87.519997	
144	0.050000	80.485036	1.674206	1.832896	65.057999	55.840000	84.449997	
145	0.050000	81.036909	1.677388	1.725549	65.292000	56.219997	84.839996	
146	0.050000	81.589278	1.671881	1.720745	65.101997	57.239998	85.290001	
147	0.050000	82.166532	1.665502	1.626175	65.283997	57.739998	85.519997	
148	0.050000	82.720539	1.666965	1.550946	65.320000	58.769997	86.860001	
149	0.050000	83.279578	1.659646	1.702770	65.332001	57.399998	84.500000	
150	0.050000	83.827087	1.658660	1.524685	65.281998	60.369999	86.970001	
151	0.005000	84.374182	1.181353	1.028411	73.965996	71.080002	92.699997	
152	0.005000	84.933638	1.069720	1.005344	76.631996	71.919998	92.909996	
153	0.005000	85.492046	1.032909	0.993406	77.528000	72.080002	93.329994	
154	0.005000	86.033142	1.008578	0.980688	78.222000	72.229996	93.269997	
155	0.005000	86.580569	0.982455	0.971824	78.801994	72.279999	93.449997	
156	0.005000	87.125915	0.965448	0.980206	79.484001	72.379997	93.459999	
157	0.005000	87.679386	0.952751	0.968733	79.863998	72.769997	93.709999	
158	0.005000	88.234161	0.946007	0.962998	80.091995	72.809998	93.659996	
159	0.005000	88.784239	0.931298	0.977470	80.573997	72.189995	93.169998	
160	0.005000	89.332145	0.920114	0.971962	81.029999	72.750000	93.299995	
161	0.005000	89.887178	0.912336	0.965366	81.139999	72.629997	93.709999	
162	0.005000	90.447989	0.909157	0.966125	81.271996	72.989998	93.329994	
163	0.005000	90.997436	0.900437	0.964764	81.582001	72.709999	93.470001	
164	0.005000	91.546929	0.895320	0.963567	81.804001	72.680000	93.389999	
165	0.005000	92.100219	0.891011	0.967479	81.787994	72.879997	93.180000	
166	0.005000	92.652308	0.889072	0.957271	81.991997	72.979996	93.379997	
167	0.005000	93.199152	0.882234	0.965872	82.122002	73.000000	93.449997	
168	0.005000	93.760723	0.876681	0.957879	82.465996	72.699997	93.479996	
169	0.005000	94.315823	0.874975	0.960266	82.703995	73.059998	93.369995	
170	0.005000	94.876650	0.870964	0.976563	82.750000	73.099998	93.320000	
171	0.005000	95.432494	0.871168	0.980716	82.835999	72.619995	93.479996	
172	0.005000	95.967585	0.871975	0.962382	82.897995	72.879997	93.459999	
173	0.005000	96.501575	0.860845	0.966565	83.115997	72.639999	93.619995	
174	0.005000	97.061893	0.865931	0.994562	83.105995	72.290001	93.259995	
175	0.005000	97.613461	0.865364	0.983880	83.180000	72.500000	93.379997	
176	0.005000	98.164154	0.863350	0.993605	83.189995	72.279999	93.320000	
177	0.005000	98.719055	0.864842	0.978456	83.500000	72.709999	93.309998	
178	0.005000	99.267005	0.866565	1.010600	83.265999	72.159996	92.849998	
179	0.005000	99.810957	0.864410	0.982854	83.295998	72.599998	93.309998	
180	0.005000	100.359555	0.863084	1.008460	83.301994	72.110001	92.829994	
181	0.000500	100.925591	0.768285	0.910704	86.042000	74.799995	94.059998	
182	0.000500	101.474798	0.741038	0.907667	86.692001	74.879997	94.059998	
183	0.000500	102.023468	0.736149	0.905359	86.963997	74.750000	94.159996	
184	0.000500	102.556812	0.731067	0.909841	87.003998	74.580002	94.229996	
185	0.000500	103.118880	0.722458	0.898203	87.381996	74.820000	94.129997	
186	0.000500	103.678959	0.718867	0.903701	87.582001	74.709999	94.110001	
187	0.000500	104.241547	0.715441	0.898546	87.771996	74.709999	94.099998	
188	0.000500	104.796753	0.716962	0.897160	87.433998	74.639999	94.040001	
189	0.000500	105.345068	0.712324	0.902364	87.813995	74.580002	94.209999	
190	0.000500	105.910842	0.712658	0.909229	87.771996	74.659996	93.989998	
191	0.000500	106.482426	0.707503	0.905026	88.001999	74.459999	94.110001	
192	0.000500	107.021578	0.707535	0.900782	87.911995	74.659996	94.149994	
193	0.000500	107.559801	0.704773	0.899734	88.017998	74.709999	94.299995	
194	0.000500	108.102096	0.705406	0.898037	88.357994	74.779999	94.149994	
195	0.000500	108.644951	0.705721	0.902238	88.178001	74.689995	94.149994	
196	0.000500	109.190007	0.701724	0.894156	88.279999	74.759995	94.239998	
197	0.000500	109.758473	0.702158	0.901965	88.383995	74.680000	94.159996	
198	0.000500	110.318918	0.699492	0.900865	88.379997	74.769997	94.139999	
199	0.000500	110.869164	0.698480	0.899811	88.456001	74.680000	94.149994	
200	0.000500	111.449391	0.694580	0.905246	88.617996	74.860001	94.070000	
201	0.000500	112.015177	0.697290	0.895011	88.461998	74.790001	94.220001	
202	0.000500	112.574712	0.696599	0.896805	88.565994	75.129997	94.089996	
203	0.000500	113.133235	0.695183	0.903010	88.481995	74.869995	93.989998	
204	0.000500	113.694922	0.694895	0.897297	88.795998	74.860001	94.070000	
205	0.000500	114.263445	0.695306	0.903262	88.414001	74.839996	94.040001	
206	0.000500	114.828533	0.692895	0.905639	88.751999	74.799995	94.029999	
207	0.000500	115.386901	0.686168	0.898164	88.949997	74.860001	94.149994	
208	0.000500	115.947630	0.689683	0.902566	88.755997	74.830002	93.989998	
209	0.000500	116.511314	0.687453	0.911072	88.860001	74.570000	93.939995	
210	0.000500	117.075479	0.690244	0.903700	88.570000	74.790001	94.029999	
211	0.000050	117.627106	0.679226	0.902611	89.166000	74.849998	94.250000	
212	0.000050	118.178606	0.678459	0.900957	89.135994	74.689995	94.059998	
213	0.000050	118.726313	0.676020	0.898827	89.393997	74.909996	94.129997	
214	0.000050	119.268970	0.675799	0.897572	89.315994	74.729996	94.099998	
215	0.000050	119.814066	0.672585	0.901244	89.542000	74.930000	94.119995	
216	0.000050	120.366024	0.675103	0.901589	89.301994	74.869995	94.009995	
217	0.000050	120.931875	0.672411	0.900174	89.323997	74.989998	94.119995	
218	0.000050	121.500041	0.674515	0.901501	89.171997	74.629997	94.029999	
219	0.000050	122.057993	0.673918	0.901559	89.309998	74.689995	93.959999	
220	0.000050	122.617367	0.673587	0.907628	89.601997	74.759995	94.079994	
221	0.000050	123.176824	0.673420	0.904670	89.332001	74.739998	94.040001	
222	0.000050	123.741585	0.672910	0.897519	89.444000	74.820000	94.110001	
223	0.000050	124.304648	0.673373	0.895055	89.269997	74.949997	94.079994	
224	0.000050	124.862624	0.675086	0.892196	89.306000	74.900002	94.189995	
225	0.000050	125.434627	0.673832	0.902357	89.357994	74.830002	94.079994	
226	0.000050	126.000767	0.671812	0.899384	89.445999	74.860001	94.139999	
227	0.000050	126.559768	0.668372	0.895408	89.579994	74.970001	94.129997	
228	0.000050	127.113589	0.670409	0.900036	89.461998	74.909996	94.049995	
229	0.000050	127.671832	0.673233	0.896213	89.417999	74.799995	94.139999	
230	0.000050	128.229012	0.670065	0.896976	89.367996	74.779999	94.220001	
231	0.000050	128.780914	0.669988	0.900795	89.517998	74.949997	94.119995	
232	0.000050	129.339505	0.672123	0.896304	89.529999	74.860001	94.089996	
233	0.000050	129.902767	0.672924	0.901495	89.475998	74.729996	94.089996	
234	0.000050	130.478752	0.671437	0.895632	89.493996	74.889999	94.079994	
235	0.000050	131.039423	0.669061	0.898654	89.481995	75.000000	94.029999	
236	0.000050	131.599703	0.671586	0.898226	89.547997	75.000000	94.149994	
237	0.000050	132.168951	0.669749	0.894271	89.461998	74.970001	94.169998	
238	0.000050	132.734137	0.672771	0.899383	89.442001	74.970001	94.119995	
239	0.000050	133.288511	0.667449	0.897425	89.591995	75.080002	94.019997	
240	0.000050	133.853866	0.668248	0.899912	89.655998	74.809998	94.000000	
